"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/out-34","1","STC01-B-011-07","30","0","-1.2","out","2844.8581460903265","3587.314790113429","3633.6909564173584","742.4566440231024","788.8328103270319","out","true","20260909","CASE4","4"
"STC1/in-36","1","STC01-A-014-04","0","10","-1.2","in","2970.5824934757716","3633.6909564173584","3680.067122721288","663.1084629415868","709.4846292455163","in","true","20260909","CASE6","6"
"STC1/in-37","1","STC01-B-010-03","0","0","-1.2","in","3063.0058245653554","3695.067122721288","3735.276622358551","632.0612981559325","672.2707977931955","dc","true","20260909","CASE1","1"
"STC1/out-37","1","STC01-A-010-09","0","0","-1.2","out","3096.2754117857135","3695.067122721288","3784.1527886624804","598.7917109355744","687.8773768767669","dc","true","20260909","CASE1","1"
"STC1/out-36","1","STC01-B-022-01","0","0","-1.2","out","3016.127282484834","3784.1527886624804","3840.195621633077","768.0255061776465","824.068339148243","out","true","20260909","CASE6","6"
"STC1/in-38","1","STC01-B-017-05","0","0","-1.2","in","3141.748975859955","3840.195621633077","3872.5717879370063","698.4466457731219","730.8228120770514","dc","true","20260909","CASE2","2"
"STC1/out-38","1","STC01-B-017-03","60","0","-1.2","out","3185.070928532098","3840.195621633077","3908.947954240936","655.1246931009787","723.8770257088377","dc","true","20260909","CASE2","2"
"STC1/in-39","1","STC01-B-012-07","0","10","-1.2","in","3231.6442913176224","3934.947954240936","3976.490787211532","703.3036629233134","744.8464958939094","in","true","20260909","CASE3","3"
"STC1/out-39","1","STC01-A-011-03","0","10","-1.2","out","3263.558452191896","3990.1574538781983","4031.533620182128","726.5990016863025","767.975167990232","out","true","20260909","CASE3","3"
"STC1/in-40","1","STC01-B-016-09","30","0","-1.2","in","3321.918208895783","4031.533620182128","4082.4097864860573","709.6154112863446","760.4915775902741","dc","true","20260909","CASE4","4"
"STC1/out-40","1","STC01-A-009-04","30","0","-1.2","out","3344.7165435246593","4031.533620182128","4120.049831800571","686.8170766574685","775.3332882759119","dc","true","20260909","CASE4","4"
"STC1/in-41","1","STC01-A-004-06","0","0","-1.2","in","3410.16374461885","4120.049831800571","4164.925998104501","709.886087181721","754.7622534856505","in","true","20260909","CASE5","5"
"STC1/in-42","1","STC01-B-020-04","0","10","-1.2","in","3492.624073725726","4178.425998104501","4225.30216440843","685.8019243787749","732.6780906827044","dc","true","20260909","CASE6","6"
"STC1/out-42","1","STC01-A-025-04","0","0","-1.2","out","3518.7959434078743","4178.425998104501","4271.575152431469","659.6300546966263","752.7792090235948","dc","true","20260909","CASE6","6"
"STC1/out-41","1","STC01-B-007-02","0","10","-1.2","out","3428.421006693638","4284.075152431469","4319.979076756568","855.6541457378312","891.5580700629303","out","true","20260909","CASE5","5"
"STC1/in-43","1","STC01-B-021-06","0","0","-1.2","in","3573.9501059081936","4319.979076756568","4367.521909727165","746.0289708483747","793.5718038189711","in","true","20260909","CASE1","1"
"STC1/in-44","1","STC01-A-017-10","0","0","-1.2","in","3653.0572191319825","4387.188576393832","4424.064742697761","734.1313572618492","771.0075235657787","dc","true","20260909","CASE2","2"
"STC1/out-44","1","STC01-B-012-03","60","0","-1.2","out","3692.0447277636936","4387.188576393832","4473.774242335024","695.1438486301381","781.7295145713301","dc","true","20260909","CASE2","2"
"STC1/out-43","1","STC01-A-018-10","0","0","-1.2","out","3607.370966970921","4499.774242335024","4558.150408638953","892.4032753641027","950.7794416680322","out","true","20260909","CASE1","1"
