"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/out-36","1","STC01-B-023-10-D2","0","0","-1.2","out","3016.127282484834","3036.2185579232673","3091.094724227197","20.091275438433513","74.96744174236301","out","true","20260909","BASE","1"
"STC1/in-37","1","STC01-B-011-03-D2","0","0","-1.2","in","3063.0058245653554","3091.094724227197","3124.80422386446","28.088899661841424","61.7983992991044","in","true","20260909","BASE","1"
"STC1/out-37","1","STC01-B-004-08-D1","0","0","-1.2","out","3096.2754117857135","3124.80422386446","3170.1803901683893","28.52881207874634","73.90497838267584","out","true","20260909","BASE","1"
"STC1/in-38","1","STC01-B-017-02-D2","0","0","-1.2","in","3141.748975859955","3170.1803901683893","3207.8898898056523","28.43141430843434","66.14091394569732","in","true","20260909","BASE","1"
"STC1/out-38","1","STC01-B-010-04-D2","0","0","-1.2","out","3185.070928532098","3207.8898898056523","3251.565178878629","22.818961273554123","66.49425034653086","out","true","20260909","BASE","1"
"STC1/in-39","1","STC01-B-012-06-D2","0","0","-1.2","in","3231.6442913176224","3251.565178878629","3285.9413451825585","19.920887561006566","54.29705386493606","in","true","20260909","BASE","1"
"STC1/out-39","1","STC01-B-002-01-D2","0","0","-1.2","out","3263.558452191896","3285.9413451825585","3324.5079272463113","22.38289299066264","60.949475054415416","out","true","20260909","BASE","1"
"STC1/in-40","1","STC01-B-016-02-D1","0","0","-1.2","in","3321.918208895783","3324.5079272463113","3356.2174268835743","2.5897183505280736","34.29921798779105","in","true","20260909","BASE","1"
"STC1/out-40","1","STC01-B-021-06-D2","0","0","-1.2","out","3344.7165435246593","3356.2174268835743","3407.0935931875038","11.500883358914962","62.377049662844456","out","true","20260909","BASE","1"
"STC1/in-41","1","STC01-A-004-05-D2","0","0","-1.2","in","3410.16374461885","3410.16374461885","3442.373244256113","0","32.20949963726298","in","true","20260909","BASE","1"
"STC1/out-41","1","STC01-B-001-03-D1","0","0","-1.2","out","3428.421006693638","3442.373244256113","3472.3826601407536","13.952237562475148","43.96165344711562","out","true","20260909","BASE","1"
"STC1/in-42","1","STC01-B-020-04-D2","0","0","-1.2","in","3492.624073725726","3492.624073725726","3532.333573362989","0","39.70949963726298","in","true","20260909","BASE","1"
"STC1/out-42","1","STC01-A-008-02-D2","0","0","-1.2","out","3518.7959434078743","3532.333573362989","3578.0311614819534","13.537629955114426","59.23521807407906","out","true","20260909","BASE","1"
"STC1/in-43","1","STC01-B-021-07-D1","0","0","-1.2","in","3573.9501059081936","3578.0311614819534","3613.0739944525494","4.081055573759841","39.12388854435585","in","true","20260909","BASE","1"
"STC1/out-43","1","STC01-B-023-05-D1","0","0","-1.2","out","3607.370966970921","3613.0739944525494","3655.950160756479","5.703027481628396","48.57919378555789","out","true","20260909","BASE","1"
