"job_id","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed"
"out-48","out","4041.9165852971914","4041.9165852971914","4088.4153031700394","0","46.49871787284792","out","true","20260909"
"in-49","in","4072.6497604378633","4088.4153031700394","4124.248636503373","15.765542732176073","51.59887606550956","in","true","20260909"
"out-49","out","4127.641867617412","4127.641867617412","4173.308534284079","0","45.66666666666697","out","true","20260909"
"in-50","in","4164.087628960343","4173.308534284079","4197.072413294663","9.220905323735678","32.984784334320466","in","true","20260909"
"out-50","out","4208.74422158913","4208.74422158913","4246.458386442109","0","37.71416485297959","out","true","20260909"
"in-51","in","4242.507608019348","4246.458386442109","4272.958386442109","3.9507784227616867","30.450778422761687","in","true","20260909"
"out-51","out","4302.621475862606","4302.621475862606","4350.121475862606","0","47.5","out","true","20260909"
"in-52","in","4330.964187958411","4350.121475862606","4381.121475862606","19.157287904195073","50.15728790419507","in","true","20260909"
"out-52","out","4391.461459112221","4391.461459112221","4435.961459112221","0","44.5","out","true","20260909"
"in-53","in","4410.084581242076","4435.961459112221","4474.461459112221","25.87687787014511","64.37687787014511","in","true","20260909"
"out-53","out","4473.894375819447","4474.461459112221","4523.461459112221","0.5670832927735319","49.56708329277353","out","true","20260909"
"in-54","in","4490.589933082727","4523.461459112221","4559.961459112221","32.87152602949391","69.37152602949391","in","true","20260909"
"out-54","out","4555.414683857401","4559.961459112221","4606.961459112221","4.546775254820204","51.546775254820204","out","true","20260909"
"in-55","in","4578.419439675552","4606.961459112221","4631.449547593922","28.542019436668852","53.03010791837005","in","true","20260909"
"out-55","out","4639.7072309641435","4639.7072309641435","4678.08806248379","0","38.38083151964656","out","true","20260909"
"in-56","in","4662.612999411565","4678.08806248379","4712.58806248379","15.475063072224657","49.97506307222466","in","true","20260909"
"out-56","out","4727.366163743926","4727.366163743926","4767.032830410593","0","39.66666666666697","out","true","20260909"
"in-57","in","4744.420248341879","4767.032830410593","4802.032830410593","22.61258206871389","57.61258206871389","in","true","20260909"
"out-57","out","4813.622924934275","4813.622924934275","4857.289591600942","0","43.66666666666697","out","true","20260909"
"in-58","in","4822.408407367766","4857.289591600942","4895.122924934275","34.8811842331761","72.71451756650913","in","true","20260909"
"out-58","out","4893.941099405555","4895.122924934275","4938.956258267609","1.1818255287198554","45.015158862053795","out","true","20260909"
"in-59","in","4914.679426767731","4938.956258267609","4973.456258267609","24.276831499878426","58.776831499878426","in","true","20260909"
"out-59","out","4984.588518724112","4984.588518724112","5026.921852057445","0","42.33333333333303","out","true","20260909"
"in-60","in","5002.867134719023","5026.921852057445","5059.921852057445","24.05471733842205","57.05471733842205","in","true","20260909"
"out-60","out","5069.945460257254","5069.945460257254","5109.578709837965","0","39.63324958071098","out","true","20260909"
"in-61","in","5093.404809232536","5109.578709837965","5136.578709837965","16.17390060542948","43.17390060542948","in","true","20260909"
"out-61","out","5149.770490807881","5149.770490807881","5203.603824141214","0","53.83333333333303","out","true","20260909"
